Motif,0,1,2
IA,-0.122,-0.291,-0.136
IB,-0.031,-0.014,-0.035
IC,0.119,0.057,0.143
ID,0.023,0.019,0.029
IIA,-0.114,-0.211,0.184
IIB,-0.027,-0.006,-0.04
IIC,0.123,0.075,0.232
IID,0.022,0.02,0.025
IIIA,-0.001,-0.015,0.017
IIIB,0,-0.002,0.003
IIIC,0.001,-0.003,0.003
IIID,0,0,0.001
IVA,-0.31,0.732,0.206
IVB,-0.077,0.243,-0.075
IVC,0.356,-0.01,-0.543
IVD,0.066,0.018,-0.126
VA,-0.031,-0.295,0.319
VB,-0.007,-0.042,0.049
VC,0.025,-0.034,0.06
VD,0.004,-0.004,0.009
VIA,-0.138,0.166,-0.12
VIB,0.109,0.058,-0.037
VIC,-0.01,-0.043,0.061
VID,0.006,-0.008,-0.001
VIIA,-0.571,-0.169,-0.494
VIIB,0.588,0.124,-0.098
VIIC,-0.035,-0.309,0.36
VIID,0.031,-0.056,0.004
